==================================================
Training started at: 2025-02-17 22:47:23
Training Configuration:
Resume from checkpoint: Nonest

Additional steps: 5000
==================================================

[22:47:56] step:    1 | loss:  10.99 | elapsed: 17.1209s | tokens/sec:   119.62 | total_tokens: 2048
[22:47:56] step:    2 | loss:  10.96 | elapsed: 17.1687s | tokens/sec:   238.57 | total_tokens: 4096
[22:47:56] step:    3 | loss:  10.99 | elapsed: 17.2236s | tokens/sec:   356.72 | total_tokens: 6144
[22:47:56] step:    4 | loss:  10.98 | elapsed: 17.3068s | tokens/sec:   473.34 | total_tokens: 8192
[22:47:56] step:    5 | loss:  10.02 | elapsed: 17.3518s | tokens/sec:   590.14 | total_tokens: 10240
[22:47:56] step:    6 | loss:  10.10 | elapsed: 17.4017s | tokens/sec:   706.14 | total_tokens: 12288
[22:47:56] step:    7 | loss:  10.00 | elapsed: 17.4529s | tokens/sec:   821.41 | total_tokens: 14336
[22:47:56] step:    8 | loss:  10.14 | elapsed: 17.5203s | tokens/sec:   935.15 | total_tokens: 16384
[22:47:56] step:    9 | loss:   9.41 | elapsed: 17.5661s | tokens/sec:  1048.61 | total_tokens: 18420
[22:47:56] step:   10 | loss:   9.46 | elapsed: 17.6151s | tokens/sec:  1161.61 | total_tokens: 20462
[22:47:57] step:   11 | loss:   9.50 | elapsed: 17.6661s | tokens/sec:  1264.85 | total_tokens: 22345
[22:47:57] step:   12 | loss:   9.45 | elapsed: 17.7333s | tokens/sec:  1375.55 | total_tokens: 24393
[22:47:57] step:   13 | loss:   8.92 | elapsed: 17.7793s | tokens/sec:  1487.01 | total_tokens: 26438
[22:47:57] step:   14 | loss:   8.74 | elapsed: 17.8312s | tokens/sec:  1597.54 | total_tokens: 28486
[22:47:57] step:   15 | loss:   8.97 | elapsed: 17.8804s | tokens/sec:  1680.33 | total_tokens: 30045
[22:47:57] step:   16 | loss:   9.05 | elapsed: 17.9461s | tokens/sec:  1775.70 | total_tokens: 31867
[22:47:57] step:   17 | loss:   8.51 | elapsed: 17.9921s | tokens/sec:  1884.99 | total_tokens: 33915
[22:47:57] step:   18 | loss:   8.36 | elapsed: 18.0454s | tokens/sec:  1992.92 | total_tokens: 35963
[22:47:57] step:   19 | loss:   8.38 | elapsed: 18.0937s | tokens/sec:  2100.79 | total_tokens: 38011
[22:47:57] step:   20 | loss:   8.48 | elapsed: 18.1611s | tokens/sec:  2195.41 | total_tokens: 39871
[22:47:57] step:   21 | loss:   8.20 | elapsed: 18.2057s | tokens/sec:  2302.52 | total_tokens: 41919
[22:47:57] step:   22 | loss:   8.25 | elapsed: 18.2593s | tokens/sec:  2407.93 | total_tokens: 43967
[22:47:57] step:   23 | loss:   8.14 | elapsed: 18.3086s | tokens/sec:  2509.75 | total_tokens: 45950
[22:47:57] step:   24 | loss:   8.22 | elapsed: 18.3777s | tokens/sec:  2606.26 | total_tokens: 47897
[22:47:57] step:   25 | loss:   7.86 | elapsed: 18.4380s | tokens/sec:  2708.80 | total_tokens: 49945
[22:47:57] step:   26 | loss:   7.94 | elapsed: 18.4888s | tokens/sec:  2811.49 | total_tokens: 51981
[22:47:57] step:   27 | loss:   7.86 | elapsed: 18.5383s | tokens/sec:  2914.45 | total_tokens: 54029
[22:47:57] step:   28 | loss:   7.68 | elapsed: 18.6080s | tokens/sec:  3010.80 | total_tokens: 56025
[22:47:58] step:   29 | loss:   9.21 | elapsed: 18.6687s | tokens/sec:  3110.72 | total_tokens: 58073
[22:47:58] step:   30 | loss:   7.74 | elapsed: 18.7243s | tokens/sec:  3205.14 | total_tokens: 60014
[22:47:58] step:   31 | loss:   7.73 | elapsed: 18.7846s | tokens/sec:  3297.71 | total_tokens: 61946
[22:47:58] step:   32 | loss:   7.34 | elapsed: 18.8519s | tokens/sec:  3390.81 | total_tokens: 63923
[22:47:58] step:   33 | loss:   7.65 | elapsed: 18.8995s | tokens/sec:  3464.49 | total_tokens: 65477
[22:47:58] step:   34 | loss:   7.70 | elapsed: 18.9574s | tokens/sec:  3554.81 | total_tokens: 67390
[22:47:58] step:   35 | loss:   7.73 | elapsed: 19.0101s | tokens/sec:  3652.69 | total_tokens: 69438
